Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(1085632k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-01-19T13:38:15.485-0800: 1.244: [GC (Allocation Failure) [PSYoungGen: 2097664K->333278K(2446848K)] 2097664K->333286K(8039424K), 0.1553360 secs] [Times: user=0.17 sys=0.36, real=0.16 secs] 
2021-01-19T13:41:03.827-0800: 169.588: [GC (Allocation Failure) [PSYoungGen: 2427916K->319066K(2449408K)] 2812920K->756762K(8041984K), 0.0432842 secs] [Times: user=0.30 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:04.153-0800: 169.914: [GC (Allocation Failure) [PSYoungGen: 2420826K->320404K(2448384K)] 2858522K->803139K(8040960K), 0.0409086 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:04.466-0800: 170.227: [GC (Allocation Failure) [PSYoungGen: 2422164K->319188K(2451456K)] 2904899K->851143K(8044032K), 0.0394386 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:04.776-0800: 170.537: [GC (Allocation Failure) [PSYoungGen: 2425044K->325182K(2450432K)] 2956999K->903536K(8043008K), 0.0427485 secs] [Times: user=0.30 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:05.114-0800: 170.875: [GC (Allocation Failure) [PSYoungGen: 2431038K->312582K(2452480K)] 3009392K->934365K(8045056K), 0.0407392 secs] [Times: user=0.27 sys=0.01, real=0.04 secs] 
2021-01-19T13:41:05.429-0800: 171.190: [GC (Allocation Failure) [PSYoungGen: 2422534K->319615K(2452992K)] 3044317K->982080K(8045568K), 0.0413859 secs] [Times: user=0.27 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:05.754-0800: 171.515: [GC (Allocation Failure) [PSYoungGen: 2429567K->334281K(2449408K)] 3092032K->1036219K(8041984K), 0.0428640 secs] [Times: user=0.30 sys=0.01, real=0.04 secs] 
2021-01-19T13:41:06.082-0800: 171.843: [GC (Allocation Failure) [PSYoungGen: 2442185K->317991K(2451968K)] 3144123K->1067820K(8044544K), 0.0446438 secs] [Times: user=0.24 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:06.417-0800: 172.178: [GC (Allocation Failure) [PSYoungGen: 2425895K->321780K(2454528K)] 3175724K->1113702K(8047104K), 0.0413010 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:06.775-0800: 172.536: [GC (Allocation Failure) [PSYoungGen: 2433268K->330182K(2452992K)] 3225190K->1168335K(8045568K), 0.0435795 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:07.112-0800: 172.874: [GC (Allocation Failure) [PSYoungGen: 2441670K->324961K(2455552K)] 3279823K->1203658K(8048128K), 0.0485471 secs] [Times: user=0.25 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:07.457-0800: 173.218: [GC (Allocation Failure) [PSYoungGen: 2438497K->322571K(2454016K)] 3317194K->1242273K(8046592K), 0.0417909 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:07.798-0800: 173.560: [GC (Allocation Failure) [PSYoungGen: 2436107K->326890K(2457088K)] 3355809K->1285276K(8049664K), 0.0421849 secs] [Times: user=0.29 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:08.131-0800: 173.892: [GC (Allocation Failure) [PSYoungGen: 2444522K->336840K(2454528K)] 3402908K->1343009K(8047104K), 0.0439932 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:08.457-0800: 174.218: [GC (Allocation Failure) [PSYoungGen: 2454472K->339935K(2445312K)] 3460641K->1387029K(8037888K), 0.0438554 secs] [Times: user=0.28 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:08.787-0800: 174.548: [GC (Allocation Failure) [PSYoungGen: 2443743K->307030K(2411008K)] 3490837K->1403231K(8003584K), 0.0424474 secs] [Times: user=0.30 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:09.121-0800: 174.882: [GC (Allocation Failure) [PSYoungGen: 2410838K->318185K(2449920K)] 3507039K->1454979K(8042496K), 0.0391796 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:09.449-0800: 175.210: [GC (Allocation Failure) [PSYoungGen: 2420969K->324112K(2448896K)] 3557763K->1498645K(8041472K), 0.0396830 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:09.753-0800: 175.514: [GC (Allocation Failure) [PSYoungGen: 2426896K->326090K(2452992K)] 3601429K->1547165K(8045568K), 0.0439744 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:10.079-0800: 175.841: [GC (Allocation Failure) [PSYoungGen: 2435018K->324895K(2451968K)] 3656093K->1588889K(8044544K), 0.0437119 secs] [Times: user=0.27 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:10.421-0800: 176.182: [GC (Allocation Failure) [PSYoungGen: 2433823K->328928K(2455040K)] 3697817K->1634944K(8047616K), 0.0450595 secs] [Times: user=0.27 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:10.746-0800: 176.507: [GC (Allocation Failure) [PSYoungGen: 2442976K->326540K(2455040K)] 3748992K->1680804K(8047616K), 0.0448803 secs] [Times: user=0.31 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:11.069-0800: 176.830: [GC (Allocation Failure) [PSYoungGen: 2440588K->333172K(2453504K)] 3794852K->1729223K(8046080K), 0.0446148 secs] [Times: user=0.29 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:11.387-0800: 177.148: [GC (Allocation Failure) [PSYoungGen: 2446196K->318688K(2454528K)] 3842247K->1755977K(8047104K), 0.0427438 secs] [Times: user=0.29 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:11.713-0800: 177.474: [GC (Allocation Failure) [PSYoungGen: 2431712K->331143K(2453504K)] 3869001K->1810132K(8046080K), 0.0452003 secs] [Times: user=0.30 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:12.048-0800: 177.810: [GC (Allocation Failure) [PSYoungGen: 2443143K->330926K(2443264K)] 3922132K->1859995K(8035840K), 0.0532550 secs] [Times: user=0.23 sys=0.00, real=0.06 secs] 
2021-01-19T13:41:12.455-0800: 178.216: [GC (Allocation Failure) [PSYoungGen: 2442926K->336162K(2449408K)] 3971995K->1906219K(8041984K), 0.0418040 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:12.773-0800: 178.535: [GC (Allocation Failure) [PSYoungGen: 2443042K->328135K(2451456K)] 4013099K->1943572K(8044032K), 0.0451200 secs] [Times: user=0.33 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:13.123-0800: 178.884: [GC (Allocation Failure) [PSYoungGen: 2435015K->321090K(2453504K)] 4050452K->1979271K(8046080K), 0.0433362 secs] [Times: user=0.30 sys=0.01, real=0.04 secs] 
2021-01-19T13:41:13.455-0800: 179.216: [GC (Allocation Failure) [PSYoungGen: 2431554K->342506K(2452992K)] 4089735K->2046560K(8045568K), 0.0462972 secs] [Times: user=0.31 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:13.781-0800: 179.542: [GC (Allocation Failure) [PSYoungGen: 2452970K->325989K(2415104K)] 4157024K->2076092K(8007680K), 0.0447973 secs] [Times: user=0.30 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:14.135-0800: 179.896: [GC (Allocation Failure) [PSYoungGen: 2398053K->307643K(2379776K)] 4148156K->2103087K(7972352K), 0.0441846 secs] [Times: user=0.30 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:14.474-0800: 180.235: [GC (Allocation Failure) [PSYoungGen: 2379707K->329353K(2436096K)] 4175151K->2168324K(8028672K), 0.0462486 secs] [Times: user=0.31 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:14.792-0800: 180.553: [GC (Allocation Failure) [PSYoungGen: 2402441K->330981K(2433024K)] 4241412K->2217736K(8025600K), 0.0459060 secs] [Times: user=0.32 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:15.125-0800: 180.886: [GC (Allocation Failure) [PSYoungGen: 2404069K->316147K(2439168K)] 4290824K->2254731K(8031744K), 0.0444104 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:15.447-0800: 181.208: [GC (Allocation Failure) [PSYoungGen: 2397939K->324826K(2438656K)] 4336523K->2305040K(8031232K), 0.0438951 secs] [Times: user=0.31 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:15.788-0800: 181.549: [GC (Allocation Failure) [PSYoungGen: 2406618K->326335K(2443776K)] 4386832K->2353665K(8036352K), 0.0456705 secs] [Times: user=0.30 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:16.108-0800: 181.869: [GC (Allocation Failure) [PSYoungGen: 2415295K->302003K(2441216K)] 4442625K->2385433K(8033792K), 0.0441585 secs] [Times: user=0.30 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:16.426-0800: 182.187: [GC (Allocation Failure) [PSYoungGen: 2390963K->326571K(2444288K)] 4474393K->2452974K(8036864K), 0.0526174 secs] [Times: user=0.30 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:16.750-0800: 182.511: [GC (Allocation Failure) [PSYoungGen: 2416555K->323083K(2441728K)] 4542958K->2492305K(8034304K), 0.0447623 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:17.075-0800: 182.836: [GC (Allocation Failure) [PSYoungGen: 2413067K->345668K(2436096K)] 4582289K->2555626K(8028672K), 0.0489137 secs] [Times: user=0.33 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:17.429-0800: 183.190: [GC (Allocation Failure) [PSYoungGen: 2432068K->313634K(2441216K)] 4642026K->2573920K(8033792K), 0.0457190 secs] [Times: user=0.30 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:17.749-0800: 183.510: [GC (Allocation Failure) [PSYoungGen: 2400034K->312619K(2442240K)] 4660320K->2614194K(8034816K), 0.0444202 secs] [Times: user=0.30 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:18.059-0800: 183.820: [GC (Allocation Failure) [PSYoungGen: 2400555K->308240K(2441728K)] 4702130K->2651504K(8034304K), 0.0439675 secs] [Times: user=0.31 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:18.406-0800: 184.167: [GC (Allocation Failure) [PSYoungGen: 2396176K->322455K(2445312K)] 4739440K->2712183K(8037888K), 0.0457608 secs] [Times: user=0.30 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:18.733-0800: 184.495: [GC (Allocation Failure) [PSYoungGen: 2413975K->328598K(2442240K)] 4803703K->2759258K(8034816K), 0.0459725 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:19.062-0800: 184.824: [GC (Allocation Failure) [PSYoungGen: 2420118K->324809K(2447872K)] 4850778K->2801952K(8040448K), 0.0464936 secs] [Times: user=0.32 sys=0.01, real=0.04 secs] 
2021-01-19T13:41:19.399-0800: 185.160: [GC (Allocation Failure) [PSYoungGen: 2422473K->315164K(2445824K)] 4899616K->2834846K(8038400K), 0.0463125 secs] [Times: user=0.28 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:19.725-0800: 185.486: [GC (Allocation Failure) [PSYoungGen: 2412828K->317179K(2450432K)] 4932510K->2886725K(8043008K), 0.0463958 secs] [Times: user=0.32 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:20.056-0800: 185.817: [GC (Allocation Failure) [PSYoungGen: 2420475K->309417K(2448896K)] 4990021K->2925241K(8041472K), 0.0453474 secs] [Times: user=0.31 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:20.378-0800: 186.139: [GC (Allocation Failure) [PSYoungGen: 2412713K->326882K(2450944K)] 5028537K->2983460K(8043520K), 0.0478717 secs] [Times: user=0.33 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:20.684-0800: 186.445: [GC (Allocation Failure) [PSYoungGen: 2432226K->310206K(2450432K)] 5088804K->3014737K(8043008K), 0.0456724 secs] [Times: user=0.32 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:21.016-0800: 186.777: [GC (Allocation Failure) [PSYoungGen: 2415550K->318387K(2453504K)] 5120081K->3065840K(8046080K), 0.0467381 secs] [Times: user=0.31 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:21.347-0800: 187.108: [GC (Allocation Failure) [PSYoungGen: 2427315K->328799K(2451456K)] 5174768K->3126460K(8044032K), 0.0493856 secs] [Times: user=0.35 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:21.670-0800: 187.431: [GC (Allocation Failure) [PSYoungGen: 2437727K->309007K(2452480K)] 5235388K->3147146K(8045056K), 0.0461178 secs] [Times: user=0.27 sys=0.01, real=0.04 secs] 
2021-01-19T13:41:22.005-0800: 187.766: [GC (Allocation Failure) [PSYoungGen: 2417935K->325688K(2452480K)] 5256074K->3212909K(8045056K), 0.0438712 secs] [Times: user=0.30 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:22.313-0800: 188.074: [GC (Allocation Failure) [PSYoungGen: 2434616K->326860K(2452480K)] 5321837K->3257904K(8045056K), 0.0426436 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:22.632-0800: 188.393: [GC (Allocation Failure) [PSYoungGen: 2435788K->308889K(2452480K)] 5366832K->3294270K(8045056K), 0.0423968 secs] [Times: user=0.30 sys=0.01, real=0.04 secs] 
2021-01-19T13:41:22.941-0800: 188.703: [GC (Allocation Failure) [PSYoungGen: 2417817K->314376K(2454016K)] 5403198K->3341381K(8046592K), 0.0464573 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:23.271-0800: 189.032: [GC (Allocation Failure) [PSYoungGen: 2425352K->336577K(2447872K)] 5452357K->3411726K(8040448K), 0.0505638 secs] [Times: user=0.36 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:23.625-0800: 189.386: [GC (Allocation Failure) [PSYoungGen: 2447553K->312313K(2450944K)] 5522702K->3432632K(8043520K), 0.0464300 secs] [Times: user=0.31 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:23.954-0800: 189.716: [GC (Allocation Failure) [PSYoungGen: 2417145K->310832K(2449920K)] 5537464K->3471154K(8042496K), 0.0415620 secs] [Times: user=0.28 sys=0.01, real=0.04 secs] 
2021-01-19T13:41:24.269-0800: 190.030: [GC (Allocation Failure) [PSYoungGen: 2415664K->322093K(2453504K)] 5575986K->3525551K(8046080K), 0.0436262 secs] [Times: user=0.31 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:24.592-0800: 190.354: [GC (Allocation Failure) [PSYoungGen: 2431533K->323340K(2451968K)] 5634991K->3574526K(8044544K), 0.0430531 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:24.904-0800: 190.665: [GC (Allocation Failure) [PSYoungGen: 2432780K->329873K(2450944K)] 5683966K->3619992K(8043520K), 0.0433852 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:25.203-0800: 190.964: [GC (Allocation Failure) [PSYoungGen: 2438801K->328086K(2437120K)] 5728920K->3658119K(8029696K), 0.0429015 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:25.530-0800: 191.291: [GC (Allocation Failure) [PSYoungGen: 2437014K->320660K(2454016K)] 5767047K->3696242K(8046592K), 0.0436700 secs] [Times: user=0.31 sys=0.01, real=0.04 secs] 
2021-01-19T13:41:25.834-0800: 191.596: [GC (Allocation Failure) [PSYoungGen: 2430612K->321032K(2451968K)] 5806194K->3740280K(8044544K), 0.0477924 secs] [Times: user=0.30 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:26.161-0800: 191.923: [GC (Allocation Failure) [PSYoungGen: 2430984K->321070K(2458112K)] 5850232K->3788346K(8050688K), 0.0493734 secs] [Times: user=0.33 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:26.502-0800: 192.263: [GC (Allocation Failure) [PSYoungGen: 2439214K->321205K(2456064K)] 5906490K->3835210K(8048640K), 0.0490131 secs] [Times: user=0.33 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:26.833-0800: 192.594: [GC (Allocation Failure) [PSYoungGen: 2439349K->317006K(2460160K)] 5953354K->3875680K(8052736K), 0.0503354 secs] [Times: user=0.36 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:27.198-0800: 192.959: [GC (Allocation Failure) [PSYoungGen: 2440782K->335426K(2459648K)] 5999456K->3932506K(8052224K), 0.0500212 secs] [Times: user=0.34 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:27.532-0800: 193.294: [GC (Allocation Failure) [PSYoungGen: 2459202K->329903K(2450432K)] 6056282K->3976839K(8043008K), 0.0499521 secs] [Times: user=0.36 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:27.867-0800: 193.628: [GC (Allocation Failure) [PSYoungGen: 2443951K->326738K(2455040K)] 6090887K->4014225K(8047616K), 0.0501237 secs] [Times: user=0.33 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:28.207-0800: 193.968: [GC (Allocation Failure) [PSYoungGen: 2440786K->313372K(2455552K)] 6128273K->4053029K(8048128K), 0.0494917 secs] [Times: user=0.35 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:28.522-0800: 194.284: [GC (Allocation Failure) [PSYoungGen: 2428444K->326029K(2455552K)] 6168101K->4109439K(8048128K), 0.0499591 secs] [Times: user=0.37 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:28.849-0800: 194.611: [GC (Allocation Failure) [PSYoungGen: 2441101K->327115K(2456064K)] 6224511K->4150009K(8048640K), 0.0501622 secs] [Times: user=0.36 sys=0.00, real=0.06 secs] 
2021-01-19T13:41:29.182-0800: 194.944: [GC (Allocation Failure) [PSYoungGen: 2443211K->319932K(2456064K)] 6266105K->4185291K(8048640K), 0.0489995 secs] [Times: user=0.33 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:29.530-0800: 195.292: [GC (Allocation Failure) [PSYoungGen: 2436028K->323337K(2458624K)] 6301387K->4226573K(8051200K), 0.0496634 secs] [Times: user=0.36 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:29.869-0800: 195.630: [GC (Allocation Failure) [PSYoungGen: 2443017K->322291K(2457088K)] 6346253K->4275200K(8049664K), 0.0448429 secs] [Times: user=0.32 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:30.175-0800: 195.936: [GC (Allocation Failure) [PSYoungGen: 2441971K->330914K(2456064K)] 6394880K->4329311K(8048640K), 0.0538877 secs] [Times: user=0.35 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:30.504-0800: 196.265: [GC (Allocation Failure) [PSYoungGen: 2451106K->330397K(2450944K)] 6449503K->4372809K(8043520K), 0.0507683 secs] [Times: user=0.38 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:30.862-0800: 196.623: [GC (Allocation Failure) [PSYoungGen: 2450589K->312831K(2456064K)] 6493001K->4399789K(8048640K), 0.0489812 secs] [Times: user=0.34 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:31.195-0800: 196.956: [GC (Allocation Failure) [PSYoungGen: 2429951K->320943K(2456576K)] 6516909K->4452478K(8049152K), 0.0503682 secs] [Times: user=0.36 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:31.539-0800: 197.300: [GC (Allocation Failure) [PSYoungGen: 2438063K->320813K(2459136K)] 6569598K->4500892K(8051712K), 0.0514108 secs] [Times: user=0.36 sys=0.00, real=0.06 secs] 
2021-01-19T13:41:31.873-0800: 197.634: [GC (Allocation Failure) [PSYoungGen: 2441517K->326061K(2457600K)] 6621596K->4551450K(8050176K), 0.0454065 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2021-01-19T13:41:32.203-0800: 197.965: [GC (Allocation Failure) [PSYoungGen: 2446765K->318445K(2459648K)] 6672154K->4590782K(8052224K), 0.0515837 secs] [Times: user=0.36 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:32.535-0800: 198.296: [GC (Allocation Failure) [PSYoungGen: 2441197K->321525K(2459136K)] 6713534K->4637877K(8051712K), 0.0506080 secs] [Times: user=0.37 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:32.886-0800: 198.648: [GC (Allocation Failure) [PSYoungGen: 2444277K->313230K(2460672K)] 6760629K->4673037K(8053248K), 0.0495169 secs] [Times: user=0.36 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:33.208-0800: 198.969: [GC (Allocation Failure) [PSYoungGen: 2438542K->330843K(2456576K)] 6798349K->4732752K(8049152K), 0.0517189 secs] [Times: user=0.34 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:33.533-0800: 199.294: [GC (Allocation Failure) [PSYoungGen: 2456155K->322720K(2459648K)] 6858064K->4765357K(8052224K), 0.0500231 secs] [Times: user=0.38 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:33.880-0800: 199.642: [GC (Allocation Failure) [PSYoungGen: 2444960K->323674K(2458624K)] 6887597K->4805251K(8051200K), 0.0512416 secs] [Times: user=0.35 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:34.212-0800: 199.973: [GC (Allocation Failure) [PSYoungGen: 2445914K->310358K(2459648K)] 6927491K->4837365K(8052224K), 0.0506558 secs] [Times: user=0.35 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:34.531-0800: 200.292: [GC (Allocation Failure) [PSYoungGen: 2434646K->324007K(2460160K)] 6961653K->4888458K(8052736K), 0.0505133 secs] [Times: user=0.37 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:34.892-0800: 200.653: [GC (Allocation Failure) [PSYoungGen: 2448295K->311889K(2459648K)] 7012746K->4920262K(8052224K), 0.0500205 secs] [Times: user=0.36 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:35.214-0800: 200.976: [GC (Allocation Failure) [PSYoungGen: 2436177K->332552K(2457088K)] 7044550K->4979363K(8049664K), 0.0515368 secs] [Times: user=0.36 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:35.551-0800: 201.312: [GC (Allocation Failure) [PSYoungGen: 2456840K->316724K(2458112K)] 7103651K->5007575K(8050688K), 0.0515617 secs] [Times: user=0.38 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:35.907-0800: 201.668: [GC (Allocation Failure) [PSYoungGen: 2435892K->329275K(2448896K)] 7126743K->5066090K(8041472K), 0.0539454 secs] [Times: user=0.33 sys=0.00, real=0.06 secs] 
2021-01-19T13:41:36.247-0800: 202.009: [GC (Allocation Failure) [PSYoungGen: 2448443K->329452K(2454528K)] 7185258K->5112223K(8047104K), 0.0528766 secs] [Times: user=0.38 sys=0.01, real=0.06 secs] 
2021-01-19T13:41:36.593-0800: 202.354: [GC (Allocation Failure) [PSYoungGen: 2444524K->317490K(2455552K)] 7227295K->5144713K(8048128K), 0.0516216 secs] [Times: user=0.35 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:36.934-0800: 202.696: [GC (Allocation Failure) [PSYoungGen: 2432562K->316678K(2457088K)] 7259785K->5184452K(8049664K), 0.0503380 secs] [Times: user=0.35 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:37.263-0800: 203.025: [GC (Allocation Failure) [PSYoungGen: 2434310K->315633K(2456576K)] 7302084K->5230404K(8049152K), 0.0530337 secs] [Times: user=0.36 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:37.601-0800: 203.363: [GC (Allocation Failure) [PSYoungGen: 2433265K->317648K(2459136K)] 7348036K->5274752K(8051712K), 0.0524875 secs] [Times: user=0.35 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:37.936-0800: 203.697: [GC (Allocation Failure) [PSYoungGen: 2438864K->326985K(2458112K)] 7395968K->5323758K(8050688K), 0.0530527 secs] [Times: user=0.36 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:38.288-0800: 204.050: [GC (Allocation Failure) [PSYoungGen: 2448201K->332646K(2452992K)] 7444974K->5374666K(8045568K), 0.0548823 secs] [Times: user=0.38 sys=0.01, real=0.06 secs] 
2021-01-19T13:41:38.621-0800: 204.383: [GC (Allocation Failure) [PSYoungGen: 2447718K->315312K(2455552K)] 7489738K->5401764K(8048128K), 0.0539392 secs] [Times: user=0.37 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:38.945-0800: 204.707: [GC (Allocation Failure) [PSYoungGen: 2430384K->325427K(2456576K)] 7516836K->5455418K(8049152K), 0.0524019 secs] [Times: user=0.37 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:39.289-0800: 205.051: [GC (Allocation Failure) [PSYoungGen: 2442035K->324698K(2456064K)] 7572026K->5501152K(8048640K), 0.0538547 secs] [Times: user=0.36 sys=0.01, real=0.06 secs] 
2021-01-19T13:41:39.620-0800: 205.382: [GC (Allocation Failure) [PSYoungGen: 2441306K->331568K(2453504K)] 7617760K->5547561K(8046080K), 0.0546288 secs] [Times: user=0.35 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:39.969-0800: 205.731: [GC (Allocation Failure) [PSYoungGen: 2446640K->334375K(2449920K)] 7662633K->5597214K(8042496K), 0.0494860 secs] [Times: user=0.31 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:40.303-0800: 206.064: [GC (Allocation Failure) [PSYoungGen: 2449447K->334794K(2449408K)] 7712286K->5642653K(8041984K), 0.0548107 secs] [Times: user=0.31 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:40.635-0800: 206.396: [GC (Allocation Failure) [PSYoungGen: 2441674K->320415K(2451456K)] 7749533K->5669281K(8044032K), 0.0525958 secs] [Times: user=0.30 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:40.980-0800: 206.742: [GC (Allocation Failure) [PSYoungGen: 2427295K->314740K(2452480K)] 7776161K->5708401K(8045056K), 0.0533627 secs] [Times: user=0.31 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:41.293-0800: 207.055: [GC (Allocation Failure) [PSYoungGen: 2423668K->336588K(2445824K)] 7817329K->5772227K(8038400K), 0.0537511 secs] [Times: user=0.34 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:41.593-0800: 207.355: [GC (Allocation Failure) [PSYoungGen: 2445516K->315407K(2449920K)] 7881155K->5798757K(8042496K), 0.0516137 secs] [Times: user=0.29 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:41.923-0800: 207.684: [GC (Allocation Failure) [PSYoungGen: 2418703K->328458K(2449408K)] 7902053K->5858511K(8041984K), 0.0543280 secs] [Times: user=0.37 sys=0.01, real=0.05 secs] 
2021-01-19T13:41:42.264-0800: 208.026: [GC (Allocation Failure) [PSYoungGen: 2431754K->321506K(2451968K)] 7961807K->5891509K(8044544K), 0.0545940 secs] [Times: user=0.35 sys=0.00, real=0.05 secs] 
2021-01-19T13:41:42.319-0800: 208.081: [Full GC (Ergonomics) [PSYoungGen: 321506K->0K(2451968K)] [ParOldGen: 5570003K->367992K(5592576K)] 5891509K->367992K(8044544K), [Metaspace: 2589K->2589K(1056768K)], 0.0596942 secs] [Times: user=0.28 sys=0.01, real=0.06 secs] 
