Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(194288k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2021-01-18T10:13:03.194-0800: 0.132: [GC (Allocation Failure) [PSYoungGen: 131051K->21499K(153088K)] 131051K->43123K(502784K), 0.0107445 secs] [Times: user=0.02 sys=0.05, real=0.01 secs] 
2021-01-18T10:13:03.224-0800: 0.161: [GC (Allocation Failure) [PSYoungGen: 153083K->21487K(153088K)] 174707K->79270K(502784K), 0.0134793 secs] [Times: user=0.03 sys=0.07, real=0.01 secs] 
2021-01-18T10:13:03.253-0800: 0.190: [GC (Allocation Failure) [PSYoungGen: 153071K->21502K(153088K)] 210854K->124222K(502784K), 0.0131994 secs] [Times: user=0.04 sys=0.06, real=0.01 secs] 
2021-01-18T10:13:03.281-0800: 0.218: [GC (Allocation Failure) [PSYoungGen: 153086K->21503K(153088K)] 255806K->169714K(502784K), 0.0140439 secs] [Times: user=0.04 sys=0.06, real=0.01 secs] 
2021-01-18T10:13:03.310-0800: 0.247: [GC (Allocation Failure) [PSYoungGen: 153087K->21502K(153088K)] 301298K->215206K(502784K), 0.0142429 secs] [Times: user=0.04 sys=0.06, real=0.01 secs] 
2021-01-18T10:13:03.340-0800: 0.277: [GC (Allocation Failure) [PSYoungGen: 152335K->21497K(80384K)] 346039K->251439K(430080K), 0.0121129 secs] [Times: user=0.04 sys=0.05, real=0.01 secs] 
2021-01-18T10:13:03.359-0800: 0.296: [GC (Allocation Failure) [PSYoungGen: 80328K->35573K(116736K)] 310271K->270261K(466432K), 0.0048042 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
2021-01-18T10:13:03.372-0800: 0.310: [GC (Allocation Failure) [PSYoungGen: 94226K->46222K(116736K)] 328915K->288461K(466432K), 0.0078219 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
2021-01-18T10:13:03.390-0800: 0.327: [GC (Allocation Failure) [PSYoungGen: 104937K->54918K(116736K)] 347175K->304579K(466432K), 0.0078496 secs] [Times: user=0.05 sys=0.01, real=0.00 secs] 
2021-01-18T10:13:03.408-0800: 0.346: [GC (Allocation Failure) [PSYoungGen: 113778K->37324K(116736K)] 363439K->320207K(466432K), 0.0123920 secs] [Times: user=0.03 sys=0.05, real=0.02 secs] 
2021-01-18T10:13:03.430-0800: 0.367: [GC (Allocation Failure) [PSYoungGen: 96204K->25487K(116736K)] 379087K->343012K(466432K), 0.0118960 secs] [Times: user=0.03 sys=0.04, real=0.01 secs] 
2021-01-18T10:13:07.324-0800: 4.261: [Full GC (Ergonomics) [PSYoungGen: 58700K->11266K(116736K)] [ParOldGen: 349565K->349669K(349696K)] 408266K->360936K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0440784 secs] [Times: user=0.26 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:07.379-0800: 4.317: [Full GC (Ergonomics) [PSYoungGen: 58880K->14323K(116736K)] [ParOldGen: 349669K->349383K(349696K)] 408549K->363706K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0462272 secs] [Times: user=0.28 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:07.435-0800: 4.373: [Full GC (Ergonomics) [PSYoungGen: 58880K->13111K(116736K)] [ParOldGen: 349383K->349385K(349696K)] 408263K->362497K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0464480 secs] [Times: user=0.28 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:07.495-0800: 4.433: [Full GC (Ergonomics) [PSYoungGen: 58880K->11826K(116736K)] [ParOldGen: 349385K->349071K(349696K)] 408265K->360898K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0442352 secs] [Times: user=0.28 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:07.552-0800: 4.489: [Full GC (Ergonomics) [PSYoungGen: 58375K->8987K(116736K)] [ParOldGen: 349071K->349658K(349696K)] 407447K->358645K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0432202 secs] [Times: user=0.26 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:07.607-0800: 4.545: [Full GC (Ergonomics) [PSYoungGen: 58409K->11862K(116736K)] [ParOldGen: 349658K->349276K(349696K)] 408067K->361139K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0420906 secs] [Times: user=0.27 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:07.661-0800: 4.599: [Full GC (Ergonomics) [PSYoungGen: 58880K->10000K(116736K)] [ParOldGen: 349276K->349642K(349696K)] 408156K->359643K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0435405 secs] [Times: user=0.30 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:07.716-0800: 4.653: [Full GC (Ergonomics) [PSYoungGen: 58880K->7782K(116736K)] [ParOldGen: 349642K->349695K(349696K)] 408522K->357477K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0430295 secs] [Times: user=0.29 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:07.771-0800: 4.708: [Full GC (Ergonomics) [PSYoungGen: 58361K->8115K(116736K)] [ParOldGen: 349695K->349522K(349696K)] 408056K->357637K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0425799 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:07.826-0800: 4.763: [Full GC (Ergonomics) [PSYoungGen: 58880K->11079K(116736K)] [ParOldGen: 349522K->349323K(349696K)] 408402K->360402K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0496297 secs] [Times: user=0.28 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:07.887-0800: 4.824: [Full GC (Ergonomics) [PSYoungGen: 58880K->11056K(116736K)] [ParOldGen: 349323K->349534K(349696K)] 408203K->360591K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0464285 secs] [Times: user=0.30 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:07.943-0800: 4.881: [Full GC (Ergonomics) [PSYoungGen: 58880K->13348K(116736K)] [ParOldGen: 349534K->349436K(349696K)] 408414K->362785K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0413452 secs] [Times: user=0.26 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:07.997-0800: 4.934: [Full GC (Ergonomics) [PSYoungGen: 58747K->18189K(116736K)] [ParOldGen: 349436K->348981K(349696K)] 408184K->367170K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0465424 secs] [Times: user=0.29 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:08.054-0800: 4.992: [Full GC (Ergonomics) [PSYoungGen: 58875K->18628K(116736K)] [ParOldGen: 348981K->349392K(349696K)] 407857K->368021K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0426566 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:08.107-0800: 5.044: [Full GC (Ergonomics) [PSYoungGen: 58880K->19820K(116736K)] [ParOldGen: 349392K->349528K(349696K)] 408272K->369348K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0424992 secs] [Times: user=0.29 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:08.157-0800: 5.094: [Full GC (Ergonomics) [PSYoungGen: 58599K->23306K(116736K)] [ParOldGen: 349528K->349489K(349696K)] 408128K->372795K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0436149 secs] [Times: user=0.29 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:08.209-0800: 5.146: [Full GC (Ergonomics) [PSYoungGen: 58547K->23694K(116736K)] [ParOldGen: 349489K->349504K(349696K)] 408036K->373198K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0448503 secs] [Times: user=0.31 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:08.261-0800: 5.198: [Full GC (Ergonomics) [PSYoungGen: 58774K->23310K(116736K)] [ParOldGen: 349504K->348706K(349696K)] 408278K->372016K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0442918 secs] [Times: user=0.30 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:08.312-0800: 5.250: [Full GC (Ergonomics) [PSYoungGen: 58251K->20608K(116736K)] [ParOldGen: 348706K->349448K(349696K)] 406957K->370057K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0458093 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:08.367-0800: 5.305: [Full GC (Ergonomics) [PSYoungGen: 58880K->17943K(116736K)] [ParOldGen: 349448K->349269K(349696K)] 408328K->367212K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0437512 secs] [Times: user=0.30 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:08.420-0800: 5.357: [Full GC (Ergonomics) [PSYoungGen: 58632K->20591K(116736K)] [ParOldGen: 349269K->349615K(349696K)] 407901K->370207K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0459719 secs] [Times: user=0.32 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:08.474-0800: 5.411: [Full GC (Ergonomics) [PSYoungGen: 58612K->24172K(116736K)] [ParOldGen: 349615K->349690K(349696K)] 408228K->373863K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0438724 secs] [Times: user=0.27 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:08.526-0800: 5.463: [Full GC (Ergonomics) [PSYoungGen: 58847K->25681K(116736K)] [ParOldGen: 349690K->349164K(349696K)] 408538K->374845K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0386977 secs] [Times: user=0.28 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:08.568-0800: 5.505: [Full GC (Ergonomics) [PSYoungGen: 58831K->23825K(116736K)] [ParOldGen: 349164K->349527K(349696K)] 407996K->373353K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0376168 secs] [Times: user=0.27 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:08.610-0800: 5.547: [Full GC (Ergonomics) [PSYoungGen: 58880K->21231K(116736K)] [ParOldGen: 349527K->349267K(349696K)] 408407K->370498K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0386527 secs] [Times: user=0.28 sys=0.00, real=0.03 secs] 
2021-01-18T10:13:08.653-0800: 5.591: [Full GC (Ergonomics) [PSYoungGen: 58761K->22417K(116736K)] [ParOldGen: 349267K->349526K(349696K)] 408029K->371943K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0392523 secs] [Times: user=0.27 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:08.698-0800: 5.635: [Full GC (Ergonomics) [PSYoungGen: 58880K->20437K(116736K)] [ParOldGen: 349526K->349590K(349696K)] 408406K->370028K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0386230 secs] [Times: user=0.27 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:08.740-0800: 5.678: [Full GC (Ergonomics) [PSYoungGen: 58880K->18071K(116736K)] [ParOldGen: 349590K->349672K(349696K)] 408470K->367744K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0373640 secs] [Times: user=0.27 sys=0.00, real=0.03 secs] 
2021-01-18T10:13:08.784-0800: 5.721: [Full GC (Ergonomics) [PSYoungGen: 58784K->17604K(116736K)] [ParOldGen: 349672K->349695K(349696K)] 408456K->367299K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0388483 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:08.828-0800: 5.765: [Full GC (Ergonomics) [PSYoungGen: 58768K->17243K(116736K)] [ParOldGen: 349695K->349536K(349696K)] 408464K->366779K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0384922 secs] [Times: user=0.24 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:08.871-0800: 5.809: [Full GC (Ergonomics) [PSYoungGen: 58758K->15940K(116736K)] [ParOldGen: 349536K->349453K(349696K)] 408295K->365393K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0370340 secs] [Times: user=0.26 sys=0.01, real=0.03 secs] 
2021-01-18T10:13:08.914-0800: 5.851: [Full GC (Ergonomics) [PSYoungGen: 58880K->14171K(116736K)] [ParOldGen: 349453K->349263K(349696K)] 408333K->363434K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0369151 secs] [Times: user=0.27 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:08.956-0800: 5.893: [Full GC (Ergonomics) [PSYoungGen: 58880K->12930K(116736K)] [ParOldGen: 349263K->349597K(349696K)] 408143K->362528K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0388104 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:09.000-0800: 5.937: [Full GC (Ergonomics) [PSYoungGen: 58769K->15128K(116736K)] [ParOldGen: 349597K->349671K(349696K)] 408367K->364800K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0389727 secs] [Times: user=0.26 sys=0.01, real=0.03 secs] 
2021-01-18T10:13:09.044-0800: 5.982: [Full GC (Ergonomics) [PSYoungGen: 58868K->19049K(116736K)] [ParOldGen: 349671K->349284K(349696K)] 408540K->368333K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0343672 secs] [Times: user=0.23 sys=0.00, real=0.03 secs] 
2021-01-18T10:13:09.084-0800: 6.021: [Full GC (Ergonomics) [PSYoungGen: 58717K->20087K(116736K)] [ParOldGen: 349284K->349554K(349696K)] 408001K->369641K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0368474 secs] [Times: user=0.26 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:09.126-0800: 6.063: [Full GC (Ergonomics) [PSYoungGen: 58877K->20852K(116736K)] [ParOldGen: 349554K->349526K(349696K)] 408431K->370379K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0400055 secs] [Times: user=0.27 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:09.174-0800: 6.111: [Full GC (Ergonomics) [PSYoungGen: 58866K->24323K(116736K)] [ParOldGen: 349526K->348999K(349696K)] 408393K->373322K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0427112 secs] [Times: user=0.30 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:09.225-0800: 6.162: [Full GC (Ergonomics) [PSYoungGen: 58764K->25629K(116736K)] [ParOldGen: 348999K->348931K(349696K)] 407763K->374561K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0429844 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:09.276-0800: 6.213: [Full GC (Ergonomics) [PSYoungGen: 58865K->22352K(116736K)] [ParOldGen: 348931K->349480K(349696K)] 407797K->371833K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0416523 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:09.325-0800: 6.262: [Full GC (Ergonomics) [PSYoungGen: 58880K->20865K(116736K)] [ParOldGen: 349480K->349598K(349696K)] 408360K->370463K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0466592 secs] [Times: user=0.29 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:09.381-0800: 6.318: [Full GC (Ergonomics) [PSYoungGen: 58715K->18612K(116736K)] [ParOldGen: 349598K->349507K(349696K)] 408314K->368119K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0432255 secs] [Times: user=0.30 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:09.433-0800: 6.371: [Full GC (Ergonomics) [PSYoungGen: 58880K->15872K(116736K)] [ParOldGen: 349507K->349550K(349696K)] 408387K->365422K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0414722 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:09.485-0800: 6.423: [Full GC (Ergonomics) [PSYoungGen: 58880K->15359K(116736K)] [ParOldGen: 349550K->349220K(349696K)] 408430K->364579K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0434806 secs] [Times: user=0.29 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:09.537-0800: 6.475: [Full GC (Ergonomics) [PSYoungGen: 58880K->12532K(116736K)] [ParOldGen: 349220K->349584K(349696K)] 408100K->362116K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0429779 secs] [Times: user=0.30 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:09.590-0800: 6.527: [Full GC (Ergonomics) [PSYoungGen: 58547K->15313K(116736K)] [ParOldGen: 349584K->349688K(349696K)] 408131K->365002K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0433364 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:09.643-0800: 6.581: [Full GC (Ergonomics) [PSYoungGen: 58754K->15018K(116736K)] [ParOldGen: 349688K->349014K(349696K)] 408442K->364032K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0424104 secs] [Times: user=0.28 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:09.695-0800: 6.633: [Full GC (Ergonomics) [PSYoungGen: 58634K->13378K(116736K)] [ParOldGen: 349014K->349552K(349696K)] 407649K->362930K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0419704 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:09.747-0800: 6.684: [Full GC (Ergonomics) [PSYoungGen: 58880K->16927K(116736K)] [ParOldGen: 349552K->349350K(349696K)] 408432K->366278K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0432162 secs] [Times: user=0.31 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:09.798-0800: 6.736: [Full GC (Ergonomics) [PSYoungGen: 58663K->21273K(116736K)] [ParOldGen: 349350K->349156K(349696K)] 408014K->370429K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0428131 secs] [Times: user=0.30 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:09.850-0800: 6.787: [Full GC (Ergonomics) [PSYoungGen: 58880K->22773K(116736K)] [ParOldGen: 349156K->349025K(349696K)] 408036K->371799K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0413681 secs] [Times: user=0.27 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:09.900-0800: 6.837: [Full GC (Ergonomics) [PSYoungGen: 58588K->19428K(116736K)] [ParOldGen: 349025K->349611K(349696K)] 407614K->369040K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0417039 secs] [Times: user=0.29 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:09.949-0800: 6.887: [Full GC (Ergonomics) [PSYoungGen: 58430K->18560K(116736K)] [ParOldGen: 349611K->349396K(349696K)] 408042K->367957K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0418610 secs] [Times: user=0.29 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:10.000-0800: 6.937: [Full GC (Ergonomics) [PSYoungGen: 58600K->18648K(116736K)] [ParOldGen: 349396K->349590K(349696K)] 407997K->368238K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0469413 secs] [Times: user=0.27 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:10.056-0800: 6.994: [Full GC (Ergonomics) [PSYoungGen: 58779K->19299K(116736K)] [ParOldGen: 349590K->349205K(349696K)] 408369K->368504K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0408798 secs] [Times: user=0.29 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:10.108-0800: 7.045: [Full GC (Ergonomics) [PSYoungGen: 58826K->16040K(116736K)] [ParOldGen: 349205K->349544K(349696K)] 408032K->365584K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0432550 secs] [Times: user=0.29 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:10.161-0800: 7.098: [Full GC (Ergonomics) [PSYoungGen: 58880K->12486K(116736K)] [ParOldGen: 349544K->349487K(349696K)] 408424K->361973K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0416401 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:10.212-0800: 7.149: [Full GC (Ergonomics) [PSYoungGen: 58874K->16416K(116736K)] [ParOldGen: 349487K->349590K(349696K)] 408362K->366006K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0430822 secs] [Times: user=0.30 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:10.264-0800: 7.202: [Full GC (Ergonomics) [PSYoungGen: 58545K->18052K(116736K)] [ParOldGen: 349590K->349688K(349696K)] 408135K->367740K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0413708 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:10.315-0800: 7.253: [Full GC (Ergonomics) [PSYoungGen: 58851K->17687K(116736K)] [ParOldGen: 349688K->349285K(349696K)] 408539K->366973K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0428699 secs] [Times: user=0.27 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:10.369-0800: 7.306: [Full GC (Ergonomics) [PSYoungGen: 58829K->16442K(116736K)] [ParOldGen: 349285K->349435K(349696K)] 408115K->365878K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0455813 secs] [Times: user=0.29 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:10.427-0800: 7.365: [Full GC (Ergonomics) [PSYoungGen: 58880K->14149K(116736K)] [ParOldGen: 349435K->349595K(349696K)] 408315K->363744K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0419835 secs] [Times: user=0.24 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:10.480-0800: 7.418: [Full GC (Ergonomics) [PSYoungGen: 58880K->11715K(116736K)] [ParOldGen: 349595K->349686K(349696K)] 408475K->361401K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0453344 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:10.537-0800: 7.474: [Full GC (Ergonomics) [PSYoungGen: 58470K->5190K(116736K)] [ParOldGen: 349686K->349695K(349696K)] 408156K->354886K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0437304 secs] [Times: user=0.30 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:10.592-0800: 7.529: [Full GC (Ergonomics) [PSYoungGen: 58880K->3507K(116736K)] [ParOldGen: 349695K->349010K(349696K)] 408575K->352518K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0409764 secs] [Times: user=0.26 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:10.644-0800: 7.582: [Full GC (Ergonomics) [PSYoungGen: 58880K->1464K(116736K)] [ParOldGen: 349010K->349372K(349696K)] 407890K->350836K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0425684 secs] [Times: user=0.28 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:10.699-0800: 7.636: [Full GC (Ergonomics) [PSYoungGen: 58786K->4731K(116736K)] [ParOldGen: 349372K->349669K(349696K)] 408158K->354401K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0413018 secs] [Times: user=0.28 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:10.751-0800: 7.689: [Full GC (Ergonomics) [PSYoungGen: 58880K->5757K(116736K)] [ParOldGen: 349669K->349580K(349696K)] 408549K->355337K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0427268 secs] [Times: user=0.31 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:10.807-0800: 7.745: [Full GC (Ergonomics) [PSYoungGen: 58880K->5786K(116736K)] [ParOldGen: 349580K->349608K(349696K)] 408460K->355395K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0418735 secs] [Times: user=0.28 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:10.862-0800: 7.800: [Full GC (Ergonomics) [PSYoungGen: 58880K->5855K(116736K)] [ParOldGen: 349608K->349304K(349696K)] 408488K->355160K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0411176 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:10.915-0800: 7.852: [Full GC (Ergonomics) [PSYoungGen: 58836K->436K(116736K)] [ParOldGen: 349304K->349675K(349696K)] 408140K->350111K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0402321 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:10.968-0800: 7.906: [Full GC (Ergonomics) [PSYoungGen: 58819K->3763K(116736K)] [ParOldGen: 349675K->349428K(349696K)] 408494K->353192K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0434110 secs] [Times: user=0.28 sys=0.01, real=0.05 secs] 
2021-01-18T10:13:11.025-0800: 7.962: [Full GC (Ergonomics) [PSYoungGen: 58853K->3806K(116736K)] [ParOldGen: 349428K->349597K(349696K)] 408282K->353403K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0452300 secs] [Times: user=0.28 sys=0.00, real=0.05 secs] 
2021-01-18T10:13:11.082-0800: 8.019: [Full GC (Ergonomics) [PSYoungGen: 58734K->4673K(116736K)] [ParOldGen: 349597K->349550K(349696K)] 408331K->354224K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0409039 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:11.135-0800: 8.072: [Full GC (Ergonomics) [PSYoungGen: 58880K->5681K(116736K)] [ParOldGen: 349550K->349592K(349696K)] 408430K->355273K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0436942 secs] [Times: user=0.29 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:11.190-0800: 8.127: [Full GC (Ergonomics) [PSYoungGen: 58348K->5823K(116736K)] [ParOldGen: 349592K->349403K(349696K)] 407940K->355227K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0419381 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:11.245-0800: 8.182: [Full GC (Ergonomics) [PSYoungGen: 58255K->8300K(116736K)] [ParOldGen: 349403K->349183K(349696K)] 407658K->357483K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0411796 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:11.297-0800: 8.234: [Full GC (Ergonomics) [PSYoungGen: 58880K->9984K(116736K)] [ParOldGen: 349183K->349490K(349696K)] 408063K->359475K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0419373 secs] [Times: user=0.29 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:11.350-0800: 8.287: [Full GC (Ergonomics) [PSYoungGen: 58880K->10775K(116736K)] [ParOldGen: 349490K->349534K(349696K)] 408370K->360310K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0431098 secs] [Times: user=0.28 sys=0.00, real=0.04 secs] 
2021-01-18T10:13:11.403-0800: 8.341: [Full GC (Ergonomics) [PSYoungGen: 58880K->15443K(116736K)] [ParOldGen: 349534K->348941K(349696K)] 408414K->364385K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0406931 secs] [Times: user=0.28 sys=0.01, real=0.04 secs] 
2021-01-18T10:13:11.455-0800: 8.392: [Full GC (Ergonomics) [PSYoungGen: 58880K->13114K(116736K)] [ParOldGen: 348941K->349449K(349696K)] 407821K->362563K(466432K), [Metaspace: 2580K->2580K(1056768K)], 0.0413480 secs] [Times: user=0.29 sys=0.00, real=0.04 secs] 
