Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for bsd-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 16:54:38 by "java_re" with gcc 4.2.1 Compatible Apple LLVM 10.0.0 (clang-1000.11.45.5)
Memory: 4k page, physical 16777216k(3749580k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=8589934592 -XX:MaxHeapSize=8589934592 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2021-01-19T14:20:06.073-0800: 1.224: [GC (Allocation Failure) 2021-01-19T14:20:06.073-0800: 1.224: [DefNew: 2236928K->279615K(2516544K), 0.1729894 secs] 2236928K->319509K(8108992K), 0.1730924 secs] [Times: user=0.10 sys=0.08, real=0.17 secs] 
2021-01-19T14:20:43.075-0800: 38.227: [GC (Allocation Failure) 2021-01-19T14:20:43.075-0800: 38.227: [DefNew: 2516543K->279615K(2516544K), 0.1330522 secs] 4794006K->2639591K(8108992K), 0.1331379 secs] [Times: user=0.07 sys=0.04, real=0.13 secs] 
2021-01-19T14:20:43.495-0800: 38.647: [GC (Allocation Failure) 2021-01-19T14:20:43.495-0800: 38.647: [DefNew: 2516543K->279615K(2516544K), 0.1322178 secs] 4876519K->2728326K(8108992K), 0.1323031 secs] [Times: user=0.07 sys=0.05, real=0.13 secs] 
2021-01-19T14:20:43.903-0800: 39.054: [GC (Allocation Failure) 2021-01-19T14:20:43.903-0800: 39.055: [DefNew: 2516543K->279615K(2516544K), 0.1332284 secs] 4965254K->2814803K(8108992K), 0.1333068 secs] [Times: user=0.07 sys=0.05, real=0.13 secs] 
2021-01-19T14:20:44.323-0800: 39.475: [GC (Allocation Failure) 2021-01-19T14:20:44.324-0800: 39.475: [DefNew: 2516543K->279615K(2516544K), 0.1206018 secs] 5051731K->2900909K(8108992K), 0.1206821 secs] [Times: user=0.08 sys=0.05, real=0.12 secs] 
2021-01-19T14:20:44.717-0800: 39.868: [GC (Allocation Failure) 2021-01-19T14:20:44.717-0800: 39.869: [DefNew: 2516543K->279615K(2516544K), 0.1163205 secs] 5137837K->2986354K(8108992K), 0.1164089 secs] [Times: user=0.07 sys=0.05, real=0.12 secs] 
2021-01-19T14:20:45.121-0800: 40.273: [GC (Allocation Failure) 2021-01-19T14:20:45.121-0800: 40.273: [DefNew: 2516543K->279615K(2516544K), 0.1121199 secs] 5223282K->3073533K(8108992K), 0.1122422 secs] [Times: user=0.07 sys=0.04, real=0.11 secs] 
2021-01-19T14:20:45.515-0800: 40.667: [GC (Allocation Failure) 2021-01-19T14:20:45.515-0800: 40.667: [DefNew: 2516543K->279615K(2516544K), 0.1087343 secs] 5310461K->3158399K(8108992K), 0.1088290 secs] [Times: user=0.06 sys=0.03, real=0.11 secs] 
2021-01-19T14:20:45.889-0800: 41.040: [GC (Allocation Failure) 2021-01-19T14:20:45.889-0800: 41.041: [DefNew: 2516543K->279614K(2516544K), 0.1075247 secs] 5395327K->3243449K(8108992K), 0.1075959 secs] [Times: user=0.07 sys=0.03, real=0.11 secs] 
2021-01-19T14:20:46.309-0800: 41.461: [GC (Allocation Failure) 2021-01-19T14:20:46.309-0800: 41.461: [DefNew: 2516542K->279615K(2516544K), 0.0877784 secs] 5480377K->3322014K(8108992K), 0.0878740 secs] [Times: user=0.06 sys=0.02, real=0.09 secs] 
2021-01-19T14:20:46.692-0800: 41.844: [GC (Allocation Failure) 2021-01-19T14:20:46.692-0800: 41.844: [DefNew: 2516543K->279615K(2516544K), 0.0956110 secs] 5558942K->3404630K(8108992K), 0.0956663 secs] [Times: user=0.07 sys=0.03, real=0.09 secs] 
2021-01-19T14:20:47.085-0800: 42.237: [GC (Allocation Failure) 2021-01-19T14:20:47.085-0800: 42.237: [DefNew: 2516543K->279615K(2516544K), 0.0981158 secs] 5641558K->3482815K(8108992K), 0.0981786 secs] [Times: user=0.07 sys=0.03, real=0.10 secs] 
2021-01-19T14:20:47.472-0800: 42.624: [GC (Allocation Failure) 2021-01-19T14:20:47.472-0800: 42.624: [DefNew: 2516543K->279615K(2516544K), 0.0915424 secs] 5719743K->3564174K(8108992K), 0.0916209 secs] [Times: user=0.07 sys=0.03, real=0.09 secs] 
2021-01-19T14:20:47.849-0800: 43.000: [GC (Allocation Failure) 2021-01-19T14:20:47.849-0800: 43.001: [DefNew: 2516543K->279615K(2516544K), 0.1018491 secs] 5801102K->3639824K(8108992K), 0.1019082 secs] [Times: user=0.07 sys=0.04, real=0.11 secs] 
2021-01-19T14:20:48.249-0800: 43.401: [GC (Allocation Failure) 2021-01-19T14:20:48.250-0800: 43.401: [DefNew: 2516543K->279615K(2516544K), 0.1092665 secs] 5876752K->3732667K(8108992K), 0.1102779 secs] [Times: user=0.07 sys=0.04, real=0.11 secs] 
2021-01-19T14:20:48.633-0800: 43.785: [GC (Allocation Failure) 2021-01-19T14:20:48.633-0800: 43.785: [DefNew: 2516543K->279615K(2516544K), 0.0754212 secs] 5969595K->3805214K(8108992K), 0.0754846 secs] [Times: user=0.06 sys=0.02, real=0.07 secs] 
2021-01-19T14:20:49.000-0800: 44.152: [GC (Allocation Failure) 2021-01-19T14:20:49.000-0800: 44.152: [DefNew: 2516543K->279615K(2516544K), 0.0958855 secs] 6042142K->3906682K(8108992K), 0.0959843 secs] [Times: user=0.06 sys=0.03, real=0.09 secs] 
2021-01-19T14:20:49.402-0800: 44.554: [GC (Allocation Failure) 2021-01-19T14:20:49.402-0800: 44.554: [DefNew: 2516543K->279615K(2516544K), 0.1138693 secs] 6143610K->3992132K(8108992K), 0.1139523 secs] [Times: user=0.07 sys=0.05, real=0.11 secs] 
2021-01-19T14:20:49.816-0800: 44.968: [GC (Allocation Failure) 2021-01-19T14:20:49.816-0800: 44.968: [DefNew: 2516543K->279616K(2516544K), 0.1243853 secs] 6229060K->4097404K(8108992K), 0.1244652 secs] [Times: user=0.07 sys=0.05, real=0.13 secs] 
2021-01-19T14:20:50.246-0800: 45.398: [GC (Allocation Failure) 2021-01-19T14:20:50.246-0800: 45.398: [DefNew: 2516544K->279615K(2516544K), 0.1076245 secs] 6334332K->4189752K(8108992K), 0.1077044 secs] [Times: user=0.07 sys=0.04, real=0.11 secs] 
2021-01-19T14:20:50.640-0800: 45.792: [GC (Allocation Failure) 2021-01-19T14:20:50.640-0800: 45.792: [DefNew: 2516543K->279615K(2516544K), 0.0891089 secs] 6426680K->4268050K(8108992K), 0.0891831 secs] [Times: user=0.06 sys=0.02, real=0.08 secs] 
2021-01-19T14:20:51.037-0800: 46.189: [GC (Allocation Failure) 2021-01-19T14:20:51.038-0800: 46.189: [DefNew: 2516543K->279616K(2516544K), 0.1349545 secs] 6504978K->4366470K(8108992K), 0.1354329 secs] [Times: user=0.08 sys=0.05, real=0.14 secs] 
2021-01-19T14:20:51.452-0800: 46.604: [GC (Allocation Failure) 2021-01-19T14:20:51.452-0800: 46.604: [DefNew: 2516544K->279615K(2516544K), 0.1253691 secs] 6603398K->4460706K(8108992K), 0.1254801 secs] [Times: user=0.07 sys=0.05, real=0.12 secs] 
2021-01-19T14:20:51.873-0800: 47.025: [GC (Allocation Failure) 2021-01-19T14:20:51.873-0800: 47.025: [DefNew: 2516543K->279615K(2516544K), 0.1323266 secs] 6697634K->4544717K(8108992K), 0.1324090 secs] [Times: user=0.08 sys=0.05, real=0.13 secs] 
2021-01-19T14:20:52.295-0800: 47.447: [GC (Allocation Failure) 2021-01-19T14:20:52.295-0800: 47.447: [DefNew: 2516543K->279614K(2516544K), 0.1406939 secs] 6781645K->4635979K(8108992K), 0.1407769 secs] [Times: user=0.08 sys=0.05, real=0.14 secs] 
2021-01-19T14:20:52.701-0800: 47.853: [GC (Allocation Failure) 2021-01-19T14:20:52.701-0800: 47.853: [DefNew: 2516542K->279615K(2516544K), 0.1525689 secs] 6872907K->4723999K(8108992K), 0.1526359 secs] [Times: user=0.08 sys=0.06, real=0.15 secs] 
2021-01-19T14:20:53.140-0800: 48.292: [GC (Allocation Failure) 2021-01-19T14:20:53.140-0800: 48.292: [DefNew: 2516543K->279615K(2516544K), 0.1385436 secs] 6960927K->4817256K(8108992K), 0.1386221 secs] [Times: user=0.08 sys=0.04, real=0.13 secs] 
2021-01-19T14:20:53.568-0800: 48.720: [GC (Allocation Failure) 2021-01-19T14:20:53.568-0800: 48.720: [DefNew: 2516543K->279615K(2516544K), 0.1323624 secs] 7054184K->4911077K(8108992K), 0.1324415 secs] [Times: user=0.08 sys=0.05, real=0.14 secs] 
2021-01-19T14:20:54.007-0800: 49.159: [GC (Allocation Failure) 2021-01-19T14:20:54.007-0800: 49.159: [DefNew: 2516543K->279615K(2516544K), 0.1394763 secs] 7148005K->5008387K(8108992K), 0.1395469 secs] [Times: user=0.08 sys=0.04, real=0.14 secs] 
2021-01-19T14:20:54.434-0800: 49.586: [GC (Allocation Failure) 2021-01-19T14:20:54.434-0800: 49.586: [DefNew: 2516543K->279614K(2516544K), 0.1242405 secs] 7245315K->5096452K(8108992K), 0.1243374 secs] [Times: user=0.07 sys=0.05, real=0.12 secs] 
2021-01-19T14:20:54.854-0800: 50.006: [GC (Allocation Failure) 2021-01-19T14:20:54.854-0800: 50.006: [DefNew: 2516542K->279615K(2516544K), 0.1259858 secs] 7333380K->5187782K(8108992K), 0.1260675 secs] [Times: user=0.07 sys=0.04, real=0.13 secs] 
2021-01-19T14:20:55.274-0800: 50.426: [GC (Allocation Failure) 2021-01-19T14:20:55.274-0800: 50.426: [DefNew: 2516543K->279615K(2516544K), 0.1204585 secs] 7424710K->5268749K(8108992K), 0.1205277 secs] [Times: user=0.07 sys=0.05, real=0.12 secs] 
2021-01-19T14:20:55.688-0800: 50.840: [GC (Allocation Failure) 2021-01-19T14:20:55.688-0800: 50.840: [DefNew: 2516543K->279615K(2516544K), 0.1195720 secs] 7505677K->5352580K(8108992K), 0.1196413 secs] [Times: user=0.07 sys=0.04, real=0.12 secs] 
2021-01-19T14:20:56.089-0800: 51.241: [GC (Allocation Failure) 2021-01-19T14:20:56.089-0800: 51.241: [DefNew: 2516543K->279615K(2516544K), 0.1107229 secs] 7589508K->5440800K(8108992K), 0.1108000 secs] [Times: user=0.07 sys=0.05, real=0.12 secs] 
2021-01-19T14:20:56.496-0800: 51.648: [GC (Allocation Failure) 2021-01-19T14:20:56.496-0800: 51.648: [DefNew: 2516543K->279615K(2516544K), 0.1082607 secs] 7677728K->5517852K(8108992K), 0.1101141 secs] [Times: user=0.07 sys=0.03, real=0.11 secs] 
2021-01-19T14:20:56.908-0800: 52.060: [GC (Allocation Failure) 2021-01-19T14:20:56.908-0800: 52.060: [DefNew: 2516543K->279615K(2516544K), 0.0981520 secs] 7754780K->5587374K(8108992K), 0.0982282 secs] [Times: user=0.06 sys=0.03, real=0.10 secs] 
2021-01-19T14:20:57.281-0800: 52.433: [GC (Allocation Failure) 2021-01-19T14:20:57.281-0800: 52.433: [DefNew: 2516543K->279615K(2516544K), 0.1258638 secs] 7824302K->5690727K(8108992K), 0.1259879 secs] [Times: user=0.07 sys=0.04, real=0.12 secs] 
2021-01-19T14:20:57.695-0800: 52.847: [GC (Allocation Failure) 2021-01-19T14:20:57.695-0800: 52.847: [DefNew: 2516543K->279615K(2516544K), 0.2253879 secs] 7927655K->5781975K(8108992K), 0.2254770 secs] [Times: user=0.08 sys=0.07, real=0.23 secs] 
2021-01-19T14:20:58.193-0800: 53.345: [GC (Allocation Failure) 2021-01-19T14:20:58.193-0800: 53.345: [DefNew: 2516543K->2516543K(2516544K), 0.0000192 secs]2021-01-19T14:20:58.193-0800: 53.345: [Tenured: 5502359K->475925K(5592448K), 0.0759483 secs] 8018903K->475925K(8108992K), [Metaspace: 2589K->2589K(1056768K)], 0.0760849 secs] [Times: user=0.07 sys=0.00, real=0.07 secs] 
2021-01-19T14:20:58.575-0800: 53.727: [GC (Allocation Failure) 2021-01-19T14:20:58.575-0800: 53.727: [DefNew: 2236928K->279615K(2516544K), 0.0459899 secs] 2712853K->803462K(8108992K), 0.0460983 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2021-01-19T14:20:58.898-0800: 54.050: [GC (Allocation Failure) 2021-01-19T14:20:58.898-0800: 54.050: [DefNew: 2516543K->279616K(2516544K), 0.0506389 secs] 3040390K->887507K(8108992K), 0.0507329 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2021-01-19T14:20:59.241-0800: 54.393: [GC (Allocation Failure) 2021-01-19T14:20:59.241-0800: 54.394: [DefNew: 2516544K->279615K(2516544K), 0.0538516 secs] 3124435K->970959K(8108992K), 0.0539864 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2021-01-19T14:20:59.574-0800: 54.726: [GC (Allocation Failure) 2021-01-19T14:20:59.574-0800: 54.726: [DefNew: 2516543K->279615K(2516544K), 0.0521142 secs] 3207887K->1054740K(8108992K), 0.0522073 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2021-01-19T14:20:59.902-0800: 55.054: [GC (Allocation Failure) 2021-01-19T14:20:59.902-0800: 55.054: [DefNew: 2516543K->279615K(2516544K), 0.0554997 secs] 3291668K->1151665K(8108992K), 0.0555897 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2021-01-19T14:21:00.258-0800: 55.410: [GC (Allocation Failure) 2021-01-19T14:21:00.258-0800: 55.410: [DefNew: 2516543K->279615K(2516544K), 0.0583865 secs] 3388593K->1240545K(8108992K), 0.0584942 secs] [Times: user=0.06 sys=0.00, real=0.06 secs] 
2021-01-19T14:21:00.613-0800: 55.766: [GC (Allocation Failure) 2021-01-19T14:21:00.613-0800: 55.766: [DefNew: 2516543K->279615K(2516544K), 0.0543455 secs] 3477473K->1336464K(8108992K), 0.0544520 secs] [Times: user=0.06 sys=0.00, real=0.05 secs] 
2021-01-19T14:21:00.980-0800: 56.132: [GC (Allocation Failure) 2021-01-19T14:21:00.980-0800: 56.132: [DefNew: 2516543K->279616K(2516544K), 0.0564781 secs] 3573392K->1433368K(8108992K), 0.0565760 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2021-01-19T14:21:01.332-0800: 56.484: [GC (Allocation Failure) 2021-01-19T14:21:01.332-0800: 56.484: [DefNew: 2516544K->279615K(2516544K), 0.0538277 secs] 3670296K->1517410K(8108992K), 0.0540574 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2021-01-19T14:21:01.677-0800: 56.829: [GC (Allocation Failure) 2021-01-19T14:21:01.677-0800: 56.829: [DefNew: 2516543K->279615K(2516544K), 0.0577005 secs] 3754338K->1606060K(8108992K), 0.0577949 secs] [Times: user=0.06 sys=0.00, real=0.06 secs] 
2021-01-19T14:21:02.026-0800: 57.178: [GC (Allocation Failure) 2021-01-19T14:21:02.026-0800: 57.178: [DefNew: 2516543K->279615K(2516544K), 0.0565321 secs] 3842988K->1676918K(8108992K), 0.0566398 secs] [Times: user=0.05 sys=0.00, real=0.06 secs] 
2021-01-19T14:21:02.386-0800: 57.538: [GC (Allocation Failure) 2021-01-19T14:21:02.386-0800: 57.538: [DefNew: 2516543K->279615K(2516544K), 0.0504449 secs] 3913846K->1757414K(8108992K), 0.0505427 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2021-01-19T14:21:02.757-0800: 57.909: [GC (Allocation Failure) 2021-01-19T14:21:02.757-0800: 57.909: [DefNew: 2516543K->279615K(2516544K), 0.0541679 secs] 3994342K->1831236K(8108992K), 0.0542652 secs] [Times: user=0.05 sys=0.00, real=0.06 secs] 
2021-01-19T14:21:03.093-0800: 58.245: [GC (Allocation Failure) 2021-01-19T14:21:03.093-0800: 58.245: [DefNew: 2516543K->279614K(2516544K), 0.0530716 secs] 4068164K->1920319K(8108992K), 0.0531658 secs] [Times: user=0.06 sys=0.00, real=0.05 secs] 
2021-01-19T14:21:03.437-0800: 58.589: [GC (Allocation Failure) 2021-01-19T14:21:03.437-0800: 58.589: [DefNew: 2516542K->279615K(2516544K), 0.0550680 secs] 4157247K->2015381K(8108992K), 0.0551568 secs] [Times: user=0.05 sys=0.00, real=0.06 secs] 
2021-01-19T14:21:03.803-0800: 58.955: [GC (Allocation Failure) 2021-01-19T14:21:03.803-0800: 58.955: [DefNew: 2516543K->279615K(2516544K), 0.0542792 secs] 4252309K->2098814K(8108992K), 0.0543806 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2021-01-19T14:21:04.150-0800: 59.303: [GC (Allocation Failure) 2021-01-19T14:21:04.151-0800: 59.303: [DefNew: 2516543K->279615K(2516544K), 0.0537309 secs] 4335742K->2182358K(8108992K), 0.0538195 secs] [Times: user=0.06 sys=0.00, real=0.05 secs] 
2021-01-19T14:21:04.497-0800: 59.649: [GC (Allocation Failure) 2021-01-19T14:21:04.497-0800: 59.649: [DefNew: 2516543K->279615K(2516544K), 0.0513401 secs] 4419286K->2275488K(8108992K), 0.0514192 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2021-01-19T14:21:04.849-0800: 60.001: [GC (Allocation Failure) 2021-01-19T14:21:04.849-0800: 60.001: [DefNew: 2516543K->279615K(2516544K), 0.0648562 secs] 4512416K->2365556K(8108992K), 0.0652234 secs] [Times: user=0.07 sys=0.00, real=0.07 secs] 
Heap
 def new generation   total 2516544K, used 413951K [0x00000005c0000000, 0x000000066aaa0000, 0x000000066aaa0000)
  eden space 2236928K,   6% used [0x00000005c0000000, 0x00000005c8330038, 0x0000000648880000)
  from space 279616K,  99% used [0x0000000648880000, 0x000000065998fed0, 0x0000000659990000)
  to   space 279616K,   0% used [0x0000000659990000, 0x0000000659990000, 0x000000066aaa0000)
 tenured generation   total 5592448K, used 2085940K [0x000000066aaa0000, 0x00000007c0000000, 0x00000007c0000000)
   the space 5592448K,  37% used [0x000000066aaa0000, 0x00000006e9fad3a0, 0x00000006e9fad400, 0x00000007c0000000)
 Metaspace       used 2595K, capacity 4490K, committed 4864K, reserved 1056768K
  class space    used 278K, capacity 386K, committed 512K, reserved 1048576K
